Feature,Importance
num__sleep_duration,0.3088152767922884
cat__stress_level_low,0.1377999840725775
cat__stress_level_high,0.13756623513244487
cat__stress_level_medium,0.10387725343507018
cat__physical_activity_level_active,0.08363699494946888
cat__physical_activity_level_moderate,0.03897183544099964
cat__physical_activity_level_sedentary,0.030429689222479378
num__bmi,0.02890361061525395
cat__stress_level_Missing,0.027720019346776443
num__exercise_duration,0.023556420866710243
num__step_count,0.020250939395891815
cat__sleep_quality_good,0.009678256177631078
cat__sleep_quality_poor,0.009311308060430021
cat__physical_activity_level_Missing,0.0070486107701117455
num__calorie_expenditure,0.006927405598421804
num__heart_rate,0.005508402365018222
num__water_intake,0.005406293893566553
cat__smoking_alcohol_yes,0.0035561952375307523
cat__smoking_alcohol_no,0.0032702132085621585
cat__smoking_alcohol_occasional,0.0017359149469104711
cat__sleep_quality_average,0.001239577020300486
cat__diet_type_non-veg,0.0006464505319564638
cat__gender_male,0.0006432821556152443
cat__diet_type_balanced,0.0006335418834585394
cat__diet_type_veg,0.0006162005682664834
cat__gender_other,0.0005957717477938071
cat__gender_female,0.0005892608490447002
cat__sleep_quality_Missing,0.0004832990434303056
cat__smoking_alcohol_Missing,0.0002547571105535187
cat__gender_Missing,0.00021288681738840617
cat__diet_type_Missing,0.00011411274404801
